date,covers,net_sales,outside
2018-01-22,179.0,13145.0,0
2018-01-23,175.0,13383.92,0
2018-01-24,187.0,14668.75,0
2018-01-25,180.0,14697.44,0
2018-01-26,193.0,15793.57,0
2018-01-27,208.0,18097.83,0
2018-01-28,217.0,15762.859999999999,0
2018-01-29,179.0,13543.61,0
2018-01-30,159.0,12223.45,0
2018-01-31,175.0,14233.5,0
2018-02-01,168.0,15137.0,0
2018-02-02,167.0,16261.74,0
2018-02-03,206.0,17275.07,0
2018-02-04,0.0,0.0,0
2018-02-05,167.0,13081.65,0
2018-02-06,155.0,12446.82,0
2018-02-07,141.0,11371.75,0
2018-02-08,173.0,16081.5,0
2018-02-09,204.0,18509.32,0
2018-02-10,199.0,16519.23,0
2018-02-11,198.0,15937.24,0
2018-02-12,195.0,16637.839999999997,0
2018-02-13,176.0,13032.24,0
2018-02-14,185.0,15317.94,0
2018-02-15,192.0,14609.26,0
2018-02-16,191.0,15764.829999999998,0
2018-02-17,199.0,15503.48,0
2018-02-18,223.0,17442.629999999997,0
2018-02-19,179.0,13704.0,0
2018-02-20,160.0,12742.07,0
2018-02-21,181.0,13869.01,0
2018-02-22,173.0,15877.63,0
2018-02-23,178.0,13772.15,0
2018-02-24,206.0,21976.760000000002,0
2018-02-25,193.0,13971.81,0
2018-02-26,166.0,17876.87,0
2018-02-27,170.0,14237.64,0
2018-02-28,162.0,12150.939999999999,0
2018-03-01,176.0,13980.8,0
2018-03-02,182.0,15440.15,0
2018-03-03,212.0,18356.160000000003,0
2018-03-04,187.0,14259.57,0
2018-03-05,169.0,13305.0,0
2018-03-06,160.0,12088.94,0
2018-03-07,162.0,13685.18,0
2018-03-08,163.0,14277.66,0
2018-03-09,187.0,18137.11,0
2018-03-10,191.0,19734.19,0
2018-03-11,192.0,14177.67,0
2018-03-12,167.0,12434.9,0
2018-03-13,178.0,13097.63,0
2018-03-14,167.0,13295.0,0
2018-03-15,184.0,13203.02,0
2018-03-16,184.0,15502.47,0
2018-03-17,205.0,17215.66,0
2018-03-18,185.0,14037.34,0
2018-03-19,192.0,13587.97,0
2018-03-20,173.0,13245.019999999999,0
2018-03-21,164.0,13036.93,0
2018-03-22,169.0,14031.82,0
2018-03-23,203.0,16848.579999999998,0
