date,covers,sales,outside,apparent_temperature,humidity,precip_intensity_max,precip_max_time,precip_prob,precip_type,pressure,summary,temperature,day_of_week,month,closed,ppa
2019-05-18,314.0,24635.4,1,64.54,0.49,0.0003,12:00AM,0.0,none,1016.1,partly-cloudy-day,64.54,5,5,0,78.45668789808917
2019-05-19,270.0,17560.629999999994,1,71.83,0.78,0.011000000000000001,08:00AM,0.0,rain,1013.02,partly-cloudy-day,71.34,6,5,0,65.03937037037035
2019-05-20,257.0,17033.5,1,82.16,0.47,0.1401,02:00AM,0.01,rain,1005.71,partly-cloudy-day,81.76,0,5,0,66.27821011673151
2019-05-21,228.0,20307.91,1,69.46,0.25,0.0,05:01AM,0.0,none,1015.14,partly-cloudy-day,69.46,1,5,0,89.06978070175438
2019-05-22,251.0,17455.46,1,70.48,0.33,0.0,05:01AM,0.0,none,1022.58,partly-cloudy-day,70.48,2,5,0,69.54366533864541
2019-05-23,213.0,16084.5,1,65.86,0.87,0.0811,05:00PM,0.0,rain,1012.61,partly-cloudy-day,65.53,3,5,0,75.51408450704226
2019-05-24,300.0,21672.14,1,70.44,0.47,0.0015,12:00AM,0.0,rain,1017.47,partly-cloudy-day,70.44,4,5,0,72.24046666666666
2019-05-25,232.0,19019.56,0,62.4,0.59,0.0026,12:00AM,0.0,rain,1019.61,partly-cloudy-day,62.4,5,5,0,81.98086206896552
2019-05-26,281.0,20863.74,1,72.44,0.81,0.0469,07:00PM,0.4,rain,1011.57,rain,71.75,6,5,0,74.2481850533808
2019-05-27,188.0,19083.49,1,77.75,0.36,0.0003,12:00AM,0.0,none,1012.01,partly-cloudy-day,77.75,0,5,0,101.5079255319149
2019-05-28,181.0,13647.99,1,69.19,0.84,0.0581,10:00PM,0.0,rain,1004.7,partly-cloudy-day,68.68,1,5,0,75.40325966850828
2019-05-29,184.0,13669.77,0,56.79,0.96,0.4723,06:00PM,1.0,rain,1007.09,rain,56.79,2,5,0,74.29222826086956
