date,sales,dinner_covers,outside
2017-08-11,20502.63,295,1
2017-08-12,21402.2,297,1
2017-08-13,19167.46,320,1
2017-08-14,16887.089999999997,258,1
2017-08-15,15814.97,235,1
2017-08-16,18402.89,258,1
2017-08-17,17964.11,271,1
2017-08-18,16952.829999999994,228,1
2017-08-19,22582.44,341,1
2017-08-20,17123.57,287,1
2017-08-21,17029.72,265,1
2017-08-22,15595.789999999997,245,1
2017-08-23,18835.739999999998,294,1
2017-08-24,18486.739999999998,277,1
2017-08-25,20794.339999999997,298,1
2017-08-26,19556.749999999996,321,1
2017-08-27,20214.069999999996,310,1
2017-08-28,19474.14,265,1
2017-08-29,12263.19,184,0
2017-08-30,19401.14,293,1
2017-08-31,18963.38,277,1
2017-09-01,20902.559999999998,321,1
2017-09-02,15546.439999999997,232,1
2017-09-03,22341.209999999995,342,1
2017-09-04,19093.879999999997,289,1
2017-09-05,15330.969999999998,252,1
2017-09-06,19011.01,190,0
2017-09-07,17132.96,271,1
2017-09-08,20744.690000000002,299,1
2017-09-09,25070.04,309,1
2017-09-10,19838.99,303,1
2017-09-11,16540.239999999998,250,1
2017-09-12,19495.39,257,1
2017-09-13,16051.940000000002,248,1
2017-09-14,18948.97,259,1
2017-09-15,23891.76,316,1
2017-09-16,22973.97,335,1
2017-09-17,18674.449999999997,289,1
2017-09-18,15380.44,250,1
2017-09-19,13013.17,185,0
2017-09-20,17127.5,247,1
2017-09-21,17543.5,252,1
2017-09-22,23849.969999999998,303,1
2017-09-23,22119.189999999988,323,1
2017-09-24,21105.07,297,1
2017-09-25,16621.97,242,1
2017-09-26,15122.889999999998,227,1
2017-09-27,15899.96,234,1
2017-09-28,17033.1,253,1
2017-09-29,21847.499999999996,301,1
2017-09-30,21802.44,292,1
2017-10-01,18929.989999999998,288,1
2017-10-02,14954.55,238,1
2017-10-03,17632.16,259,1
2017-10-04,16200.509999999998,260,1
2017-10-05,19582.61,256,1
2017-10-06,21679.16,298,1
2017-10-07,20741.32,316,1
2017-10-08,19543.23,283,1
2017-10-09,11963.9,181,0
2017-10-10,20407.96,249,1
2017-10-11,16162.21,186,1
2017-10-12,16489.37,203,1
2017-10-13,21280.36,316,1
2017-10-14,22069.9,304,1
2017-10-15,19150.729999999996,263,1
2017-10-16,13282.99,184,0
2017-10-17,12756.3,174,0
2017-10-18,16604.629999999997,242,1
2017-10-19,18486.050000000003,241,1
2017-10-20,20765.46,261,1
2017-10-21,24289.719999999994,318,1
2017-10-22,19438.08,262,1
2017-10-23,18651.8,257,1
2017-10-24,13815.61,190,0
2017-10-25,16344.68,237,1
2017-10-26,18960.79,197,0
2017-10-27,18441.58,240,1
2017-10-28,23789.599999999995,301,1
2017-10-29,13739.55,194,0
2017-10-30,13910.509999999998,175,0
2017-10-31,12840.32,193,0
2017-11-01,17228.12,181,0
2017-11-02,16444.199999999997,239,1
2017-11-03,21446.5,288,1
2017-11-04,17404.57,219,0
2017-11-05,15677.17,203,0
2017-11-06,14282.800000000001,180,0
2017-11-07,12713.13,168,0
2017-11-08,13101.01,187,0
2017-11-09,16285.379999999997,193,0
2017-11-10,17368.440000000002,200,0
2017-11-11,15200.3,198,0
2017-11-12,14552.36,200,0
2017-11-13,13097,166,0
2017-11-14,14153.130000000001,165,0
2017-11-15,11361.91,194,0
2017-11-16,16831.98,194,0
2017-11-17,16040.229999999998,188,0
2017-11-18,19809.019999999997,233,0
2017-11-19,16132.04,212,0
2017-11-20,14078.5,176,0
2017-11-21,16669.8,195,0
2017-11-22,15824.550000000001,194,0
2017-11-23,0,0,0
2017-11-24,12927.240000000002,187,0
2017-11-25,14833.24,211,0
2017-11-26,12832.36,193,0
2017-11-27,12281.51,183,0
2017-11-28,15149.48,141,0
2017-11-29,14774.669999999998,177,0
2017-11-30,14446.5,175,0
2017-12-01,15761.27,180,0
2017-12-02,17556.11,224,0
2017-12-03,15075.48,206,0
2017-12-04,19433.48,181,0
2017-12-05,13039.21,157,0
2017-12-06,12937.31,178,0
2017-12-07,19497.05,172,0
2017-12-08,18926.059999999998,221,0
2017-12-09,15644.279999999999,211,0
2017-12-10,14265,190,0
2017-12-11,9477.75,175,0
2017-12-12,13767.97,178,0
2017-12-13,13246.48,180,0
2017-12-14,12647.890000000001,183,0
2017-12-15,14550.3,203,0
2017-12-16,13835.17,202,0
2017-12-17,18217,219,0
2017-12-18,13820.6,172,0
2017-12-19,15659.839999999997,206,1
2017-12-20,18482.14,186,0
2017-12-21,14255.11,203,0
2017-12-22,14888.14,160,0
2017-12-23,14996.86,206,0
2017-12-24,-3150,0,0
2017-12-25,0,0,0
2017-12-26,13796.17,204,0
2017-12-27,13399.65,192,0
2017-12-28,17199.480000000003,209,0
2017-12-29,16439.64,222,0
2017-12-30,14915.91,205,1
2017-12-31,15399.589999999998,205,0
2018-01-01,381,0,0
2018-01-02,11791.75,171,1
2018-01-03,12052.109999999999,161,1
2018-01-04,12396.98,174,0
2018-01-05,16431.14,182,0
2018-01-06,17706.94,209,0
2018-01-07,12113.59,182,0
2018-01-08,10500.13,161,0
2018-01-09,13713.21,188,0
2018-01-10,13153.22,184,0
2018-01-11,13116.3,175,0
2018-01-12,16269.51,218,0
2018-01-13,14049.11,217,0
2018-01-14,14887.05,193,1
2018-01-15,14474.18,184,1
2018-01-16,12975.52,178,0
2018-01-17,12990.01,181,0
2018-01-18,13446.48,157,0
2018-01-19,14100.47,193,0
2018-01-20,16153.189999999999,213,0
2018-01-21,13986,191,0
2018-01-22,13145,179,0
2018-01-23,14883.92,181,1
2018-01-24,14518.75,191,0
2018-01-25,14497.44,189,0
2018-01-26,15793.57,198,0
2018-01-27,17697.83,216,0
2018-01-28,15862.859999999999,220,0
2018-01-29,11993.61,179,0
2018-01-30,11373.45,162,0
2018-01-31,14233.5,177,0
2018-02-01,15137,169,0
2018-02-02,16261.74,182,0
2018-02-03,17275.07,214,0
2018-02-04,0,0,0
2018-02-05,12881.65,171,0
2018-02-06,12596.82,157,0
2018-02-07,11271.75,141,0
2018-02-08,16081.5,183,0
2018-02-09,18509.32,219,0
2018-02-10,15810.230000000003,207,0
2018-02-11,15937.24,202,0
2018-02-12,16637.839999999997,195,0
2018-02-13,13257.24,189,0
2018-02-14,15317.94,185,0
2018-02-15,14609.26,198,0
2018-02-16,14064.83,193,0
2018-02-17,15503.48,213,0
2018-02-18,17342.63,225,0
2018-02-19,13904,183,0
2018-02-20,12742.07,162,0
2018-02-21,13815.33,185,0
2018-02-22,15877.63,179,0
2018-02-23,13772.15,178,0
2018-02-24,22876.760000000002,210,0
2018-02-25,13971.810000000001,196,0
2018-02-26,17876.87,167,0
2018-02-27,13987.64,170,0
2018-02-28,12350.939999999999,162,0
2018-03-01,14255.8,180,0
2018-03-02,13590.15,184,0
2018-03-03,18256.16,221,0
2018-03-04,14359.569999999998,187,0
2018-03-05,13305,169,0
2018-03-06,11188.94,160,0
2018-03-07,13285.18,166,0
2018-03-08,14277.66,163,0
2018-03-09,17974.440000000002,196,0
2018-03-10,19734.19,211,0
2018-03-11,13677.669999999998,200,0
2018-03-12,12434.9,169,0
2018-03-13,12997.630000000001,180,0
2018-03-14,13295,167,0
2018-03-15,13203.02,187,0
2018-03-16,15502.470000000001,195,0
2018-03-17,17215.66,212,0
2018-03-18,14037.34,189,0
2018-03-19,12737.97,195,0
2018-03-20,12845.019999999999,175,0
2018-03-21,13036.93,170,0
2018-03-22,14031.820000000002,174,0
2018-03-23,16048.579999999998,205,0
2018-03-24,17664.66,233,0
2018-03-25,14533.32,200,0
2018-03-26,11714.67,172,0
2018-03-27,13754,171,0
2018-03-28,13569.489999999998,154,0
2018-03-29,14332.87,197,0
2018-03-30,14656.24,175,0
2018-03-31,15249.67,208,0
2018-04-01,15046.220000000001,227,1
2018-04-02,12480.719999999998,174,0
2018-04-03,13825.48,174,0
2018-04-04,13318.67,178,0
2018-04-05,12431.529999999999,181,0
2018-04-06,18609.07,267,1
2018-04-07,19217.6,253,1
2018-04-08,16561,218,0
2018-04-09,12958,180,0
2018-04-10,14129.439999999999,180,0
2018-04-11,17145.749999999996,197,1
2018-04-12,14746.57,208,1
2018-04-13,22190.31,288,1
2018-04-14,19007.769999999997,276,1
2018-04-15,15019.119999999999,187,0
2018-04-16,18479.829999999998,180,1
2018-04-17,11657.1,182,0
2018-04-18,16056.619999999999,193,1
2018-04-19,14609.5,168,0
2018-04-20,15356.5,203,1
2018-04-21,24282.07,295,1
2018-04-22,18758.61999999999,230,1
2018-04-23,13654.19,193,1
2018-04-24,12074.46,172,1
2018-04-25,14522.480000000001,177,0
2018-04-26,20257.34,269,1
2018-04-27,15075.84,200,0
2018-04-28,21188.16,269,1
2018-04-29,15004.260000000002,238,1
2018-04-30,15611.31,199,0
2018-05-01,17634.510000000002,235,1
2018-05-02,20521.940000000002,260,1
