date,sales,covers,outside,humidity,precip_intensity_max,precip_max_time,precip_prob,precip_type,pressure,summary,day_of_week,month,closed,sales_per_cover,temp_very_cold,temp_cold,temp_warm,temp_hot,temp_very_hot
2017-02-18,15832.199999999995,213.0,0,0.49,0.0,05:01AM,0.0,none,1004.57,clear-night,5,2,0,74.32957746478871,0.0,0.0,0.0,1.0,0.0
2017-02-19,15567.31,220.0,0,0.48,0.0,05:01AM,0.0,none,1012.47,clear-night,6,2,0,70.7605,0.0,0.0,1.0,0.0,0.0
2017-02-20,12690.499999999998,184.0,0,0.32,0.0,05:01AM,0.0,none,1026.3,clear-night,0,2,0,68.97010869565216,0.0,0.0,1.0,0.0,0.0
2017-02-21,13479.98,189.0,0,0.72,0.0,05:01AM,0.0,none,1022.55,partly-cloudy-night,1,2,0,71.3226455026455,0.0,0.0,1.0,0.0,0.0
2017-02-22,12884.12,176.0,0,0.76,0.0,05:01AM,0.0,none,1012.73,partly-cloudy-night,2,2,0,73.20522727272727,0.0,0.0,1.0,0.0,0.0
2017-02-23,13450.75,185.0,0,0.79,0.0,05:01AM,0.0,none,1011.26,partly-cloudy-night,3,2,0,72.70675675675676,0.0,0.0,0.0,1.0,0.0
2017-02-24,14834.67,219.0,0,0.8,0.0,05:01AM,0.0,none,1011.09,clear-night,4,2,0,67.73821917808219,0.0,0.0,0.0,1.0,0.0
2017-02-25,16599.519999999997,249.0,0,0.88,0.1655,08:00PM,1.0,rain,1001.71,rain,5,2,0,66.66473895582328,0.0,0.0,1.0,0.0,0.0
2017-02-26,13563.85,211.0,0,0.47,0.0,05:01AM,0.0,none,1022.66,partly-cloudy-night,6,2,0,64.28364928909953,0.0,1.0,0.0,0.0,0.0
2017-02-27,13716.86,171.0,0,0.54,0.0,05:01AM,0.0,none,1029.28,partly-cloudy-night,0,2,0,80.21555555555555,0.0,0.0,1.0,0.0,0.0
2017-02-28,15136.089999999998,159.0,0,0.9,0.0,05:01AM,0.0,none,1020.37,cloudy,1,2,0,95.19553459119496,0.0,0.0,1.0,0.0,0.0
2017-03-01,13173.48,186.0,0,0.61,0.08,12:00PM,0.0,rain,997.46,clear-night,2,3,0,70.82516129032258,0.0,0.0,0.0,1.0,0.0
2017-03-02,14391.19,185.0,0,0.33,0.0011,02:00AM,0.0,rain,1016.66,clear-night,3,3,0,77.79021621621622,0.0,1.0,0.0,0.0,0.0
2017-03-03,14819.79,190.0,0,0.55,0.0,05:01AM,0.0,none,1027.28,partly-cloudy-night,4,3,0,77.9988947368421,1.0,0.0,0.0,0.0,0.0
2017-03-04,18980.78,237.0,0,0.31,0.0,05:01AM,0.0,none,1034.92,clear-night,5,3,0,80.08767932489451,1.0,0.0,0.0,0.0,0.0
2017-03-05,14517.5,225.0,0,0.27,0.0,05:01AM,0.0,none,1034.09,clear-night,6,3,0,64.52222222222223,0.0,1.0,0.0,0.0,0.0
2017-03-06,13041.74,165.0,0,0.55,0.0,05:01AM,0.0,none,1030.81,cloudy,0,3,0,79.04084848484848,0.0,0.0,1.0,0.0,0.0
2017-03-07,13784.06,181.0,0,0.87,0.0316,11:00AM,0.0,rain,1019.38,cloudy,1,3,0,76.15502762430938,0.0,0.0,1.0,0.0,0.0
2017-03-08,14269.45,191.0,0,0.35,0.0156,07:00AM,0.0,rain,1012.3,clear-night,2,3,0,74.70916230366493,0.0,0.0,0.0,1.0,0.0
2017-03-09,14575.669999999998,197.0,0,0.33,0.0,05:01AM,0.0,none,1015.2,partly-cloudy-night,3,3,0,73.98817258883248,0.0,0.0,1.0,0.0,0.0
2017-03-10,14885.909999999998,208.0,0,0.47,0.0232,04:00PM,0.0,snow,1013.02,partly-cloudy-night,4,3,0,71.566875,1.0,0.0,0.0,0.0,0.0
2017-03-11,16960.54,213.0,0,0.5,0.0,05:01AM,0.0,none,1023.08,partly-cloudy-night,5,3,0,79.62694835680752,1.0,0.0,0.0,0.0,0.0
2017-03-12,14304.03,195.0,0,0.37,0.0,05:01AM,0.0,none,1027.45,clear-night,6,3,0,73.354,1.0,0.0,0.0,0.0,0.0
2017-03-13,13130.57,177.0,0,0.53,0.0004,03:00PM,0.0,none,1027.95,partly-cloudy-night,0,3,0,74.18401129943503,0.0,1.0,0.0,0.0,0.0
2017-03-14,0.0,0.0,0,0.8,0.023,01:00PM,0.0,snow,994.4,cloudy,1,3,1,0.0,1.0,0.0,0.0,0.0,0.0
2017-03-15,13096.54,176.0,0,0.56,0.0,05:01AM,0.0,none,1007.59,cloudy,2,3,0,74.4121590909091,1.0,0.0,0.0,0.0,0.0
2017-03-16,14506.04,191.0,0,0.37,0.022000000000000002,03:00PM,0.0,rain,1016.14,clear-night,3,3,0,75.94785340314137,0.0,1.0,0.0,0.0,0.0
2017-03-17,18070.45,224.0,0,0.4,0.0086,02:00PM,0.0,rain,1022.56,clear-night,4,3,0,80.67165178571429,0.0,0.0,1.0,0.0,0.0
2017-03-18,17417.11,224.0,0,0.89,0.011000000000000001,06:00PM,0.78,sleet,1021.43,sleet,5,3,0,77.75495535714286,0.0,1.0,0.0,0.0,0.0
