date,sales,closed,temp_very_cold,temp_cold,temp_warm,temp_hot,temp_very_hot,precip_while_open,sunday_three_day,sales_trend,day_cluster_0_X_month_cluster_0,day_cluster_0_X_month_cluster_1,day_cluster_0_X_month_cluster_2,day_cluster_1_X_month_cluster_0,day_cluster_1_X_month_cluster_1,day_cluster_1_X_month_cluster_2,day_cluster_2_X_month_cluster_0,day_cluster_2_X_month_cluster_1,day_cluster_2_X_month_cluster_2,day_cluster_3_X_month_cluster_0,day_cluster_3_X_month_cluster_1,day_cluster_3_X_month_cluster_2,day_cluster_4_X_month_cluster_0,day_cluster_4_X_month_cluster_1,day_cluster_4_X_month_cluster_2,day_cluster_5_X_month_cluster_0,day_cluster_5_X_month_cluster_1,day_cluster_5_X_month_cluster_2,day_cluster_6_X_month_cluster_0,day_cluster_6_X_month_cluster_1,day_cluster_6_X_month_cluster_2,temp_very_cold_X_outside,temp_cold_X_outside,temp_warm_X_outside,temp_hot_X_outside,temp_very_hot_X_outside
2017-03-08,14269.45,0,0.0,0.0,0.0,1.0,0.0,0,0,11507.259999999951,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-03-09,14575.669999999998,0,0.0,0.0,1.0,0.0,0.0,0,0,13196.009999999951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-03-10,14885.909999999998,0,0.0,1.0,0.0,0.0,0.0,0,0,12203.259999999951,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-03-11,16960.54,0,1.0,0.0,0.0,0.0,0.0,0,0,14275.129999999888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-03-12,14304.03,0,1.0,0.0,0.0,0.0,0.0,0,0,15490.459999999905,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-03-13,13130.57,0,0.0,1.0,0.0,0.0,0.0,0,0,16490.579999999958,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-03-14,0.0,1,1.0,0.0,0.0,0.0,0.0,0,0,-10693.280000000028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0
2017-03-15,13096.54,0,1.0,0.0,0.0,0.0,0.0,0,0,-15005.590000000026,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-03-16,14506.04,0,0.0,1.0,0.0,0.0,0.0,0,0,-15721.140000000014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-03-17,18070.45,0,0.0,0.0,1.0,0.0,0.0,0,0,-13513.039999999979,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-03-18,17417.11,0,0.0,1.0,0.0,0.0,0.0,1,0,-14417.129999999946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-03-19,14875.57,0,0.0,0.0,1.0,0.0,0.0,0,0,-14287.259999999951,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-03-20,13641.76,0,0.0,0.0,1.0,0.0,0.0,0,0,-12973.609999999986,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-03-21,13840.11,0,0.0,0.0,1.0,0.0,0.0,0,0,-1301.0100000000093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0
2017-03-22,13219.24,0,1.0,0.0,0.0,0.0,0.0,0,0,612.1199999999953,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
