date,Sales
2018-05-13,473.56
2018-05-14,384.47
2018-05-15,624.93
2018-05-16,1303.91
2018-05-17,1759.5
2018-05-18,2946.11
2018-05-19,4595.74
2018-05-20,1594.21
2018-05-21,331.57
2018-05-22,1288.3
2018-05-23,713.31
2018-05-24,1210.65
2018-05-25,3395.68
2018-05-26,2718.39
2018-05-27,4593.26
2018-05-28,907.75
2018-05-29,627.52
2018-05-30,623.85
2018-05-31,1063.462526
2018-06-01,4558.336854
2018-06-02,6264.984122
2018-06-03,1266.936854
2018-06-04,1961.601401
2018-06-05,728.6060046
2018-06-06,793.9786452
2018-06-07,1679.788634
2018-06-08,3063.166705
2018-06-09,4223.870884
2018-06-10,332.041791
2018-06-11,2220.564294
2018-06-12,4096.189185
2018-06-13,2143.54915
2018-06-14,769.3103904
2018-06-15,4494.788243
2018-06-16,3535.099644
2018-06-17,137.1536165
2018-06-18,1211.574971
2018-06-19,625.7324914
2018-06-20,1145.558783
2018-06-21,1279.6969
2018-06-22,4513.166016
2018-06-23,4493.107692
2018-06-24,873.4690011
2018-06-25,901.0013777
2018-06-26,1255.893226
2018-06-27,564.3591274
2018-06-28,1215.610792
2018-06-29,3770.962342
2018-06-30,3191.636211
2018-07-01,1213.631688
2018-07-02,493.7827784
2018-07-03,3249.203766
2018-07-04,1719.527887
2018-07-05,783.7129736
2018-07-06,2609.319346
2018-07-07,2777.534524
2018-07-08,755.9357061
2018-07-09,176.3287026
2018-07-10,403.1818599
2018-07-11,1495.314811
2018-07-12,1312.771527
2018-07-13,3130.960034
2018-07-14,5529.717049
2018-07-15,904.6179334
2018-07-16,114.036969
2018-07-17,372.5177956
2018-07-18,532.4879449
2018-07-19,1121.838691
2018-07-20,2728.613318
2018-07-21,3815.523352
2018-07-22,1092.839265
2018-07-23,143.3701493
2018-07-24,659.3910448
2018-07-25,800.9437199
2018-07-26,1244.259254
2018-07-27,4289.000689
2018-07-28,3381.21442
2018-07-29,495.4159587
2018-07-30,957.3253731
2018-07-31,644.1096441
2018-08-01,1570.396062
2018-08-02,2044.594719
2018-08-03,3084.93915
2018-08-04,5307.177612
2018-08-05,795.1869116
2018-08-06,266.6
2018-08-07,797.4477612
2018-08-08,968.9850746
2018-08-09,915.9523536
2018-08-10,5080.189208
2018-08-11,4624.898967
2018-08-12,1070.872675
2018-08-13,1316.442595
2018-08-14,1147.765557
2018-08-15,1156.421355
2018-08-16,1005.698909
2018-08-17,4252.486579
2018-08-18,3265.931791
2018-08-19,473.1419059
2018-08-20,879.8910448
2018-08-21,414.4807118
2018-08-22,724.0656716
2018-08-23,1519.143513
2018-08-24,3357.695752
2018-08-25,3102.173938
2018-08-26,567.9471871
2018-08-27,297.7793341
2018-08-28,843.8931688
2018-08-29,440.1113662
2018-08-30,1319.720321
2018-08-31,3765.908381
2018-09-01,3297.540758
2018-09-02,3915.240436
2018-09-03,341.1138921
2018-09-04,431.364822
2018-09-05,884.3141217
2018-09-06,1360.501952
2018-09-07,3757.49667
2018-09-08,3757.132606
2018-09-09,983.9299656
2018-09-10,433.0617681
2018-09-11,826.5660161
2018-09-12,2064.437417
2018-09-13,780.3329506
2018-09-14,5113.23008
2018-09-15,3923.27279
2018-09-16,563.2617681
2018-09-17,609.2229621
2018-09-18,891.7508611
2018-09-19,1240.339839
2018-09-20,1940.46349
2018-09-21,3079.779127
2018-09-22,4058.23961
2018-09-23,497.2629162
2018-09-24,437.5660161
2018-09-25,711.1370838
2018-09-26,957.0763375
2018-09-27,889.5533869
2018-09-28,4731.049369
2018-09-29,3807.995166
2018-09-30,700.8535017
2018-10-01,1057.013513
2018-10-02,493.6222732
2018-10-03,644.0098737
2018-10-04,1295.360505
2018-10-05,3058.4
2018-10-06,4103.566935
2018-10-07,497.2515499
2018-10-08,420.2266361
2018-10-09,598.0414237
2018-10-10,1833.17961
2018-10-11,604.0597015
2018-10-12,5050.525155
2018-10-13,4094.47899
2018-10-14,317.7560276
2018-10-15,1030.919862
2018-10-16,672.5028703
2018-10-17,1044.865442
2018-10-18,1017.675086
2018-10-19,4064.195189
2018-10-20,4003.2124
2018-10-21,449.3233065
2018-10-22,961.2908152
2018-10-23,727.6374282
2018-10-24,1084.844535
2018-10-25,1140.399541
2018-10-26,3336.346958
2018-10-27,4579.316877
2018-10-28,408.293915
2018-10-29,1043.652124
2018-10-30,1197.804788
2018-10-31,3731.892997
2018-11-01,639.0551091
2018-11-02,4163.805258
2018-11-03,5160.067164
2018-11-04,544.7508611
2018-11-05,638.6208955
2018-11-06,460.3709989
2018-11-07,530.36969
2018-11-08,1839.196326
2018-11-09,5075.112618
2018-11-10,5300.551091
2018-11-11,1120.185993
2018-11-12,632.8287026
2018-11-13,671.2826636
2018-11-14,837.8746269
2018-11-15,840.6529851
2018-11-16,3574.616992
2018-11-17,4464.442939
2018-11-18,718.4234214
2018-11-19,429.6205511
2018-11-20,1492.429277
2018-11-21,1537.891848
2018-11-22,0
2018-11-23,2807.637887
2018-11-24,3892.350172
2018-11-25,524.3332951
2018-11-26,2917.717566
2018-11-27,988.6248565
2018-11-28,1107.435362
2018-11-29,1089.185993
2018-11-30,4112.95752
2018-12-01,2826.226406
2018-12-02,427.9432836
2018-12-03,393.8711825
2018-12-04,545.7165327
2018-12-05,675.5453502
2018-12-06,1159.291619
2018-12-07,3914.114581
2018-12-08,5231.333295
2018-12-09,385.1251435
2018-12-10,461.91
2018-12-11,1123.02
2018-12-12,637.08
2018-12-13,1880.89
2018-12-14,3724.09
2018-12-15,3016.25
2018-12-16,579.03
2018-12-17,277.89
2018-12-18,752.22
2018-12-19,787.36
2018-12-20,1092.13
2018-12-21,3307.7
2018-12-22,2620.37
2018-12-23,1099.55
2018-12-24,0
2018-12-25,0
2018-12-26,1328.6
2018-12-27,2693.16
2018-12-28,3489.01
2018-12-29,2452.29
2018-12-30,1820.7
2018-12-31,4905.65
2019-01-01,0
2019-01-02,362.9
2019-01-03,1183.67
2019-01-04,3826.9
2019-01-05,3707.3
2019-01-06,358.39
2019-01-07,737.72
2019-01-08,539.05
2019-01-09,1111.65
2019-01-10,923.92
2019-01-11,3280.53
2019-01-12,3123.66
2019-01-13,777.18
